Pol,Lokacija,Other,Godine,Koliko dugo se profesionalno baviš programiranjem?,HTML/CSS,C,C++,C#,Java,Javascript,PHP,Python,Objective-C,Swift,Ruby,SQL,Scala,Other,Koliko godina radiš sa HTML/CSS-om?,Koliko godina radiš sa C-om?,Koliko godina radiš sa C#-om?,ASP.NET,.NET,Unity,Other,Koliko godina radiš sa C++-om?,Koliko dugo radiš sa Javom?,Android,JEE,Spring,Scala,Grails,Play,Other,Koliko dugo radiš sa JS-om?,AngularJS,BackboneJS,React,Node,Other,Express,Hapi,Other,Koliko dugo radiš sa PHPom?,WordPress,Drupal,Magento,Zend,Laravel,Other,Koliko dugo radiš sa Pythonom?,Koliko dugo radiš sa Objective-C?,Koliko dugo radiš sa Swiftom?,Koliko dugo radiš sa Rubyjem?,Koliko dugo radiš sa Scalom?,Koliko dugo radiš sa SQLom?,Koliko dugo radiš sa drugim jezikom koji si naveo?,Označi platformu sa kojom si dominantno radio/la do sada?,HTML/CSS,C,C++,C#,Node,Java,Javascript,PHP,Python,Objective-C,Swift,Ruby,SQL,Scala,Go,Other,U koju grupu developera (ili softverskih inženjera) sebe ubrajaš?,Da li koristiš nešto za verzionisanje koda?,SVN,Git,Mercurial,Aerial,Other,Atom,Eclipse,IntelliJ,Netbeans,Sublime,Visual Studio,PHP Storm,Other,Windows,Mac OS,Linux,Unix,Other,Formalno obrazovanje — da li si završio/la fakultet ili višu školu?,Šta si studirao/la?,Other,Šta si završio/la?,Other,formalno obrazovanje,kursevi i obuke,samostalno učenje i praksa,praksa i učenje uz iskusnije kolege,Da li praviš/učestvuješ u open source projektima?,Koliko sati nedeljno posvećuješ open-source projektima?,Gde su postavljeni ovi projekti?,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,Other,Pročitao/la segment ili celu knjigu o programiranju?,Pogledao/la neki video tutorijal?,Pohađao/la kurs?,Posetio/la programerski događaj?,Da li poseduješ neki sertifikat za tehnologiju u kojoj radiš?,Koliko sertifikata poseduješ?,Kada si dobio/la poslednji sertifikat?,Da li su uticali na tvoje zaposlenje/angažman?,A na novčanu nadoknadu?,Trenutno zaposlenje,Australija,Afrika,Azija,Zapadna Evropa,Istočna Evropa,Centralna Evropa,Severna Amerika,Južna Amerika,Other,Na koji način dominantno dolaziš do klijenata?,Other,Elance,Freelance,UpWork (bivši ODesk),Other,Koliko zaposlenih ima tvoja firma?,Pre preduzetništva dominantno si bio/la,usluge za klijente,sopstveni proizvodi za lok/reg tržište,sopstveni proizvodi za globalno tržište,Koji je iznos plate za koju radiš?,Koja je tvoja pozicija na poslu?,U koliko firmi si radio/la do sada?,Da li i koliko u proseku frilensuješ (radiš za novac) sa strane?,Koliko zaposlenih ima tvoja firma?,usluge za klijente,sopstveni proizvodi,domaće,strano,mešovito,ne znam,strano,domaće,Standardno zaposlenje (Ugovor o radu),Preko preduzetničke agencije,Ugovor o delu,Autorski ugovor,"Na virtuelni račun (PayPal, Skrill, Payoneer)",Stažiram uz nadoknadu,Volontiram,"Deo na ruke, deo po Ugovoru",Dobijam keš na ruke,Other,Koliki je iznos nadoknade za koju radiš?,Koliko dana odmora dobijaš?,"Koliko sati, prosečno, traje tvoj radni dan?",Da li si plaćen/a za prekovremeni rad?,fleksibilno radno vreme,kompanijski automobil,plaćena odsustva,plaćene obuke i treninge,ručak na poslu,mogućnost predlaganja sopstvenih projekata,dodatno zdravstveno i/ili penziono osiguranje,Other,Koliko si zadovoljan/a trenutnim poslom?,Koji je dominantan razlog zbog kojeg si promenio poslednje radno mesto?,Da li planiraš u budućnosti da pokreneš svoj biznis?,Šta misliš da je najizvesnije da ćeš pokrenuti?,Other,Šta je to na čemu radiš?,Other,Da li imaš neko mišljenje o srpskoj dev sceni koje bi želeo da podeliš sa nama? Da li imaš neko mišljenje o tome kako bi mogla da se unapredi?,source,Start Date (UTC),Submit Date (UTC)
Muški,Beograd,,23,5,HTML/CSS,,,,Java,Javascript,PHP,Python,,,,,,,5,,,,,,,,1,,,,,,,Jetty jersey jenkins,4,AngularJS,BackboneJS,,Node,,Express,,,2,,,,,Laravel,,1,,,,,,,web,,,,,,,Javascript,,,,,,,,Go,,mid-level developer,Koristim,,Git,,,,,,IntelliJ,,,,,,,Mac OS,Linux,,,Još uvek studiram,FON,,FON,,2,1,5,5,da,1 sat ili manje,github,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,,,,,,,,U proteklih 6 meseci,Tokom prethodnog meseca,Pre više od godinu dana,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,2,ne frilensujem,89,,sopstveni proizvodi,,,mešovito,,strano,,,Preko preduzetničke agencije,,,,,,,,,2000-2500€,20,8,ne,fleksibilno radno vreme,,plaćena odsustva,plaćene obuke i treninge,ručak na poslu,mogućnost predlaganja sopstvenih projekata,,,5,bolji radni uslovi,"možda, ako se pojavi dobra prilika",,,,,Ne,,10/15/2015 21:29:51,10/15/2015 21:36:13
Muški,Niš,,42,13,,,,C#,Java,,PHP,,,,,SQL,,,,,6,ASP.NET,.NET,,,,1,,,Spring,,,,,,,,,,,,,,3,,,,Zend,,,,,,,,5,,web,,,,C#,,,,,,,,,,,,,senior developer,Koristim,SVN,Git,,,Team foundation,,,,,,Visual Studio,,,Windows,,,,,"Da, fakultet",,,Elektronski Niš,,3,2,4,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,,,,,,,,U toku prethodnih godinu dana,U toku prethodnih godinu dana,U toku prethodnih godinu dana,U toku prethodnih godinu dana,da,5,Pre više od godinu dana,da,da,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,jedna od vodećih u kompaniji,5,ne frilensujem,250,usluge za klijente,,,strano,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,1500-1700€,21,8,da,fleksibilno radno vreme,,,plaćene obuke i treninge,,,dodatno zdravstveno i/ili penziono osiguranje,,5,želja za sticanjem novih znanja i iskustava,"da, planiram",servisan / autsorsing biznis,,,,,,10/15/2015 21:30:21,10/15/2015 21:36:16
Muški,Beograd,,28,8,HTML/CSS,,,C#,Java,Javascript,PHP,Python,Objective-C,,,SQL,,,12,,5,ASP.NET,,Unity,,,8,Android,JEE,,,,,,10,AngularJS,,,,,,,,10,WordPress,,Magento,,Laravel,"CakePHP, Yii, Clean PHP",2,3,,,,10,,web,HTML/CSS,,,,,,Javascript,PHP,Python,Objective-C,Swift,,SQL,,,,senior developer,Koristim,SVN,Git,,,,Atom,Eclipse,,Netbeans,,Visual Studio,PHP Storm,,Windows,Mac OS,,,,"Da, master",,,,,3,5,5,5,da,2-4 sata,github,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,,,Tokom prethodnog meseca,Tokom prethodnog meseca,U toku prethodnih godinu dana,U protekla 3 meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,vođa nekoliko timova,4,do 5h nedeljno,2,usluge za klijente,,domaće,,,,,domaće,Standardno zaposlenje (Ugovor o radu),,Ugovor o delu,Autorski ugovor,,,,,Dobijam keš na ruke,,900€,0,8,da,fleksibilno radno vreme,,plaćena odsustva,plaćene obuke i treninge,,mogućnost predlaganja sopstvenih projekata,,,4,želja za sticanjem novih znanja i iskustava,"da, planiram",startap / proizvod za globalno tržište,,,,Previše kvazi developera u poslednje vreme...,,10/15/2015 21:33:17,10/15/2015 21:41:55
Muški,Beograd,,29,1,,,,,,Javascript,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,createjs,,,,,,,,,,,,,,,,,,,,,,,,Java,Javascript,,,,,,,,,,junior developer,Ne koristim,,,,,,,,IntelliJ,,,,,,Windows,,,,,Nisam,,,,,1,4,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,,Na drutšvenim mrežama,,,,,,Kroz kompaniju u kojoj radim,,U proteklih 6 meseci,Tokom prethodnog meseca,Pre više od godinu dana,Pre više od godinu dana,da,1,Pre više od godinu dana,ne,ne,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,1,ne frilensujem,15,usluge za klijente,,,strano,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,500€ i manje,20,8,ne,,,,,ručak na poslu,mogućnost predlaganja sopstvenih projekata,,,5,želja za sticanjem novih znanja i iskustava,ne planiram,,,,,ne,,10/15/2015 21:39:45,10/15/2015 21:44:58
Muški,Beograd,,45,25,HTML/CSS,C,C++,C#,,Javascript,PHP,Python,Objective-C,Swift,,SQL,,,19,25,,,,,,5,,,,,,,,,11,AngularJS,,,,,,,,15,,,,,,U moje PHP nisu se mnogo koristili frejmvorci :),6,12,1,,,20,,mobile,,,C++,,,,Javascript,,Python,Objective-C,Swift,,,,,,senior developer,Koristim,SVN,Git,Mercurial,,,,,,,,,,"XCode, PyCharm, Textmate, BBEdit",,Mac OS,,,,Studirao i nikad završio/la,,,,,1,4,5,2,da,1 sat ili manje,bitbucket,,Prateći blogove i onlajn magazine,,,,Kroz video tutorijale,,Trudim se da ih inkorporiram u projekte na kojima radim,,,U protekla 3 meseca,Tokom prethodnog meseca,Pre više od godinu dana,Pre više od godinu dana,ne,,,,,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,3,zaposlen/a u firmi,usluge za klijente,,,2000-2500€,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suviše konzervativna i ""tvrda"". Suviše predrasuda, premalo praktičnog iskustva. Nedostaje i avanturističkog duha, mada su oni koji ga imaju često na svetskom nivou.",,10/15/2015 21:44:42,10/15/2015 21:50:08
Muški,Novi Sad,,33,4,HTML/CSS,,,C#,,,,,,,,SQL,,,1,,1,ASP.NET,.NET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,standalone,,,,C#,,,,,,,,,,,,,junior developer,Koristim,SVN,Git,,,Tfs,,,,,Sublime,Visual Studio,,,Windows,,,,,"Da, fakultet",,,,Ekonomski fakultet Subotica,1,1,5,2,ne,,,,Prateći blogove i onlajn magazine,,,,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,,,,U protekla 3 meseca,Tokom prethodnog meseca,Nikada,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,4,do 5h nedeljno,90,usluge za klijente,,domaće,,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,"Na virtuelni račun (PayPal, Skrill, Payoneer)",,,,,,500€ i manje,20,8,da,fleksibilno radno vreme,,,plaćene obuke i treninge,,,dodatno zdravstveno i/ili penziono osiguranje,,3,bolja plata,"da, planiram",servisan / autsorsing biznis,,,,Trenutno ne.,,10/15/2015 21:36:59,10/15/2015 21:53:34
Muški,Novi Sad,,26,2,HTML/CSS,C,C++,C#,Java,Javascript,,,,,,SQL,,,1,1,,,,,,2,4,,JEE,,,,,,1,AngularJS,,,,,,,,,,,,,,,,,,,,3,,standalone,,,,C#,,Java,,,,,,Ruby,,,,,mid-level developer,Koristim,,Git,,,,,Eclipse,,Netbeans,,Visual Studio,,,Windows,,,,,Još uvek studiram,FTN,,FTN,,3,1,5,3,ne,,,,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,,,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Pre više od godinu dana,Pre više od godinu dana,ne,,,,,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,već sam pokrenuo/la,,,startap / proizvod za globalno tržište,,,,10/15/2015 21:52:00,10/15/2015 21:59:46
Muški,Beograd,,24,2,HTML/CSS,,,,,Javascript,PHP,,,,,,,,2,,,,,,,,,,,,,,,,2,AngularJS,BackboneJS,,Node,,Express,,,2,,,,,Laravel,,,,,,,,,web,,,,,,,Javascript,,,,,,,,,,mid-level developer,Koristim,,Git,,,,,,,,Sublime,,PHP Storm,,Windows,Mac OS,Linux,,,Još uvek studiram,Elektronski Niš,,Elektronski Niš,,3,1,5,5,da,2-4 sata,github,,Prateći blogove i onlajn magazine,,,,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,,,,U toku prethodnih godinu dana,Tokom prethodnog meseca,Nikada,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,2,ne frilensujem,50,usluge za klijente,,domaće,,,,strano,,,Preko preduzetničke agencije,,,,,,,,,"1,300€",21,8,ne,fleksibilno radno vreme,,,,ručak na poslu,,,,4,bolja plata,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 21:55:36,10/15/2015 22:01:46
Muški,Beograd,,28,6,HTML/CSS,,,,Java,Javascript,PHP,Python,,,Ruby,SQL,,,10,,,,,,,,7,,,Spring,,,,,6,AngularJS,,React,Node,,Express,,connect,10,,,,,,symfony,2,,,3,,10,,web,,,,,,,,,,,,,,,Go,,senior developer,Koristim,,Git,,,,,,,,Sublime,,PHP Storm,,,,Linux,,,Studirao i nikad završio/la,,,,,1,1,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,Tokom prethodnog meseca,Tokom prethodnog meseca,Pre više od godinu dana,U protekla 3 meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,vođa tima,3,od 5 do 10h nedeljno,8,usluge za klijente,,domaće,,,,strano,,,Preko preduzetničke agencije,,,,,,,,,1500-1700€,24,10,ne,fleksibilno radno vreme,,plaćena odsustva,,ručak na poslu,mogućnost predlaganja sopstvenih projekata,,,5,bolji međuljudski odnosi,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 21:57:17,10/15/2015 22:04:49
Muški,Novi Sad,,24,2,,,,,,Javascript,,,,,,,,,,,,,,,,,,,,,,,,,2,AngularJS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,mid-level developer,Koristim,,Git,,,,,,,,Sublime,,,,,,Linux,,,"Da, fakultet",,,,Politicke nauke,1,1,5,3,ne,,,,Prateći blogove i onlajn magazine,,,,,,,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Nikada,U protekla 3 meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,1,ne frilensujem,20,usluge za klijente,,domaće,,,,strano,,,,,,,,,,Dobijam keš na ruke,,700€,25,8,ne,fleksibilno radno vreme,,,,,,,,2,bolji međuljudski odnosi,"da, planiram",startap / proizvod za globalno tržište,,,,,,10/15/2015 22:03:05,10/15/2015 22:09:01
Ženski,Beograd,,25,2,HTML/CSS,C,C++,C#,Java,Javascript,PHP,Python,,,,SQL,,,4,2,,,,,,1,4,,JEE,Spring,,,,,4,AngularJS,,,,,,,,1,WordPress,,,,,,1,,,,,4,,web,,,,,,Java,,,Python,,,,SQL,Scala,,,mid-level developer,Koristim,SVN,,,,,,Eclipse,,,,Visual Studio,,,Windows,,Linux,,,"Da, master",,,,,4,4,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,,Na drutšvenim mrežama,Na događajima,,,,,,,U toku prethodnih godinu dana,Tokom prethodnog meseca,U protekla 3 meseca,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,1,ne frilensujem,60,,sopstveni proizvodi,domaće,,,,,domaće,,,,,,,,"Deo na ruke, deo po Ugovoru",,,700€,20,8,ne,,,,,,,,ništa,3,želja za sticanjem novih znanja i iskustava,"možda, ako se pojavi dobra prilika",,,,,"Smatram da se razvija u dobrom pravcu, posebno bih pohvalio organizacije Heapspace, StartIt i PhpSerbia, za koje smatram da su najaktivnije. Kao problem bih naveo to što je scena previše skoncetrisana na Beograd i Novi Sad, dok se u manjim gradovima retko šta dešava.",,10/15/2015 22:05:01,10/15/2015 22:16:38
Muški,Beograd,,26,3,HTML/CSS,,,,Java,Javascript,PHP,,,,,,,,4,,,,,,,,3,,JEE,Spring,,Grails,,,3,,,,,KnockoutJS,,,,0,WordPress,,,,,,,,,,,,,web,HTML/CSS,,,,Node,Java,Javascript,,,,,,SQL,,,Grails,mid-level developer,Koristim,SVN,Git,,,,,Eclipse,IntelliJ,,,,,Notepad++,Windows,,,,,"Da, fakultet",,,PMF,,3,3,4,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,,,,Tokom prethodnog meseca,Tokom prethodnog meseca,U toku prethodnih godinu dana,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,2,ne frilensujem,200,usluge za klijente,sopstveni proizvodi,,strano,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,"1,000€",20,8,ne,fleksibilno radno vreme,,,plaćene obuke i treninge,,,,Rekreacija,4,bolja plata,"možda, ako se pojavi dobra prilika",,,,,"Neprofesionalna. Uglavnom. Cast sjajnim izuzecima. Kako unaprediti? Vise rasprave, meetupa, druzenja, webinara, seminara...",,10/15/2015 22:00:53,10/15/2015 22:19:44
Muški,Beograd,,12,3,HTML/CSS,,,,,,,,Objective-C,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,web,HTML/CSS,,,,,,,,,,,,,,,,junior developer,Ne koristim,,,,,,Atom,,,,,Visual Studio,,,Windows,,,,,Studirao i nikad završio/la,,,,,1,1,1,1,da,1 sat ili manje,github,Razgovorajući sa prijateljima i kolegama,,,,Kroz knjige,,,,,,Nikada,Nikada,Nikada,Nikada,da,2,Pre više od godinu dana,da,da,Samozaposlen/a — (freelance),Australija,,,,,,,,,preko platforme (poput Elance),,Elance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,već sam pokrenuo/la,,,startap / proizvod za globalno tržište,,aosneuht,test_vukasin,10/15/2015 22:19:01,10/15/2015 22:21:01
Muški,Novi Sad,,23,1,HTML/CSS,C,C++,C#,Java,Javascript,,,,,,SQL,,,2,1,,,,,,1,2,,JEE,,,,,,1,AngularJS,,,,,,,,,,,,,,,,,,,,2,,web,,,,,,,,PHP,,Objective-C,Swift,Ruby,,,,,junior developer,Koristim,SVN,,,,,,Eclipse,,,Sublime,Visual Studio,,,Windows,,,,,Još uvek studiram,FTN,,FTN,,4,5,5,5,ne,,,,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,,,,,Tokom prethodnog meseca,Tokom prethodnog meseca,U protekla 3 meseca,U protekla 3 meseca,da,1,Pre više od godinu dana,ne,ne,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 22:14:58,10/15/2015 22:22:14
Muški,Beograd,,20,3,HTML/CSS,C,,C#,Java,Javascript,PHP,,,,,SQL,,,1,1,5,,.NET,Unity,,,1,,JEE,,,,,,1,AngularJS,,,,,,,,1,,,,,,none,,,,,,2,,standalone,HTML/CSS,C,C++,C#,,Java,,,Python,,,,,,,,junior developer,Koristim,,Git,,,,,Eclipse,,,,Visual Studio,,Mono,Windows,,Linux,,,Još uvek studiram,PMF,,,studiram,2,1,5,3,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,,,,,,,,U toku prethodnih godinu dana,Tokom prethodnog meseca,U proteklih 6 meseci,U toku prethodnih godinu dana,ne,,,,,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 22:17:52,10/15/2015 22:22:58
Muški,Beograd,,23,3,HTML/CSS,,C++,C#,,Javascript,PHP,,,,,SQL,,,3,,,,,,,1,,,,,,,,,2,,,,Node,"jquery, flightjs",,,,1,WordPress,,,,,,,,,,,1,,mobile,HTML/CSS,,,,,Java,Javascript,,,,,,,,,,junior developer,Koristim,,Git,,,,,,,,,,PHP Storm,,Windows,,,,,Još uvek studiram,,VIŠER,,VIŠER,2,2,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,,Na drutšvenim mrežama,Na događajima,,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,,Kroz kompaniju u kojoj radim,,U toku prethodnih godinu dana,Tokom prethodnog meseca,Pre više od godinu dana,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,1,do 5h nedeljno,102,usluge za klijente,sopstveni proizvodi,domaće,,,,strano,domaće,,,,,,,,"Deo na ruke, deo po Ugovoru",,,500€ i manje,20,8,ne,fleksibilno radno vreme,,plaćena odsustva,plaćene obuke i treninge,,,,,4,bolja plata,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 22:19:36,10/15/2015 22:25:22
Muški,Beograd,,41,15,HTML/CSS,,C++,,Java,Javascript,,,,,,SQL,,,15,,,,,,,15,15,,JEE,Spring,,,,,15,AngularJS,,,,,,,,,,,,,,,,,,,,15,,web,,,,,,,,,,,,,,Scala,,,senior developer,Koristim,SVN,Git,,,,,Eclipse,IntelliJ,Netbeans,,,,,Windows,,,,,"Da, fakultet",,,ETF,,4,1,5,4,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,,Kroz knjige,Kroz video tutorijale,,Trudim se da ih inkorporiram u projekte na kojima radim,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Nikada,Pre više od godinu dana,da,3,Pre više od godinu dana,ne,da,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,vođa tima,5,ne frilensujem,25,usluge za klijente,,,strano,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,2000-2500€,22,9,ne,fleksibilno radno vreme,,,,,,,,5,želja za sticanjem novih znanja i iskustava,ne planiram,,,,,,,10/15/2015 22:18:03,10/15/2015 22:27:32
Muški,Beograd,,29,4,HTML/CSS,,,C#,Java,Javascript,,,,,,SQL,,,2,,1,,.NET,,,,4,,JEE,Spring,,,Play,,1,,BackboneJS,,,,,,,,,,,,,,,,,,,4,,web,HTML/CSS,,,,Node,Java,Javascript,,,,,,,,,,mid-level developer,Koristim,,Git,,,,,,IntelliJ,,,,,,Windows,,,,,"Da, master",,,,,3,4,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,,,,,,Kroz kompaniju u kojoj radim,,U protekla 3 meseca,Tokom prethodnog meseca,U toku prethodnih godinu dana,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,4,ne frilensujem,150,usluge za klijente,sopstveni proizvodi,,,mešovito,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,"1,100€",21,9,da,fleksibilno radno vreme,,plaćena odsustva,plaćene obuke i treninge,,,dodatno zdravstveno i/ili penziono osiguranje,teretana i sportske aktivnosti,5,želja za sticanjem novih znanja i iskustava,"da, planiram",startap / proizvod za globalno tržište,,,,Organizovanje prakticnih radionica a manje teoretskih predavanja. Voxxed days su bili super organizovani. Bice jako lepo ako postane Devox! ,,10/15/2015 22:14:29,10/15/2015 22:27:50
Muški,Beograd,,28,3,,,,,,,,,Objective-C,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile,,,,,,,,,,,Swift,,,,,,senior developer,Koristim,,Git,,,,,,,,,,,Xcode,,Mac OS,,,,Studirao i nikad završio/la,,,,,4,1,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,,,,,Trudim se da ih inkorporiram u projekte na kojima radim,,,U protekla 3 meseca,Tokom prethodnog meseca,Nikada,U protekla 3 meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,3,više od 20h nedeljno,20,usluge za klijente,,domaće,,,,strano,,,Preko preduzetničke agencije,,,,,,,,,1500-1700€,20,8,da,fleksibilno radno vreme,,,,,,,,3,bolja plata,"možda, ako se pojavi dobra prilika",,,,,,,10/15/2015 22:17:45,10/15/2015 22:29:22
Muški,Beograd,,20,1,HTML/CSS,C,,,,Javascript,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,BackboneJS,,,,,,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,Javascript,,,,,,,,,,junior developer,Ne koristim,,,,,,,,,,Sublime,,,,Windows,,,,,Još uvek studiram,,Visoka škola elektrotehnike i računarstva,,Jos uvek studiram,4,3,5,5,ne,,,,,,Na događajima,,,,,,,Tokom prethodnog meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,da,1,Tokom prethodnog meseca,ne znam,da,Nezaposlen/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"da, planiram",startap / proizvod za globalno tržište,,,,Besplatnim kratkim kursevima i predavanjima na kojima bi developeri mogli da se bolje upoznaju sa tržištem i situacijom,,10/15/2015 22:26:32,10/15/2015 22:32:49
Muški,Beograd,,29,10,,C,,,,Javascript,PHP,Python,,,,,,,,10,,,,,,,,,,,,,,,5,,,React,,,,,,9,WordPress,,,,Laravel,,6,,,,,,,web,,,,,,,,,Python,,,,,,Go,,senior developer,Koristim,,Git,,,,,,,,,,PHP Storm,PyCharm,,,Linux,,,Još uvek studiram,PMF,,,Još uvek studiram :),3,1,5,2,da,2-4 sata,github,,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,,,,,Trudim se da ih inkorporiram u projekte na kojima radim,,,U protekla 3 meseca,Tokom prethodnog meseca,Nikada,U proteklih 6 meseci,ne,,,,,Samozaposlen/a — (freelance),,,,,,,Severna Amerika,,Srbija,preko platforme (poput Elance),,,,UpWork (bivši ODesk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"da, planiram",servisan / autsorsing biznis,,,,,,10/15/2015 22:25:52,10/15/2015 22:33:11
Muški,Niš,,30,6,HTML/CSS,,,,,Javascript,PHP,,,,,SQL,,,5,,,,,,,,,,,,,,,,5,,,,,jQuery,,,,6,,Drupal,Magento,,,Symfony,,,,,,5,,web,,,,,Node,,,PHP,,,,,,,,,mid-level developer,Koristim,SVN,Git,,,,,,,,,,PHP Storm,,,,Linux,,,"Da, višu školu",,,,,4,4,5,4,ne,,,,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,,,,Radeći solo projekte u novim tehnologijama,,,,U proteklih 6 meseci,Tokom prethodnog meseca,U toku prethodnih godinu dana,U proteklih 6 meseci,ne,,,,,Samozaposlen/a — (freelance),,,,Zapadna Evropa,,,,,,preko platforme (poput Elance),,,Freelance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"da, planiram",servisan / autsorsing biznis,,,,,,10/15/2015 22:27:04,10/15/2015 22:34:34
